mag, bv, long, lat
3.7497,-0.179,-95.1338,46.0063
3.7515,1.275,24.4982,48.6282
3.7548,0.147,-122.296,4.4777
3.7636,0.159,-88.1626,9.5638
3.7637,0.043,-93.0268,2.7073
3.765,-0.057,-50.0905,15.9121
3.7651,1.393,-106.3541,-42.3613
3.766,0.32,-34.9773,-16.6623
3.7698,1.19,-164.4322,-71.5489
3.77,0.887,51.2033,9.0289
3.77,1.161,-93.5667,-64.7239
3.7748,1.007,152.647,-12.3541
3.7757,1.065,21.0059,-8.1833
3.782,0.031,-22.1771,50.2825
3.7877,-0.208,-150.3302,-44.8036
3.7888,0.337,89.1012,-14.1677
3.7903,-0.157,-171.8833,-72.133
3.7914,0.974,22.8709,15.3458
3.7921,-0.113,97.2045,-7.0331
3.7965,-0.148,158.2028,9.3066
3.7971,0.044,-139.7127,13.7283
3.8046,-0.104,133.7618,-60.6446
3.8072,1.626,-16.8464,-7.5796
3.8095,-0.199,-120.7788,-29.2141
3.8125,0.299,-114.5199,19.1531
3.8136,0.148,-67.5735,51.7298
3.8228,0.393,-41.3021,38.0453
3.8233,0.02,-124.3143,26.2956
3.8247,0.022,-112.2716,1.9839
3.8281,0.024,30.5117,2.7638
3.8299,0.066,139.711,36.8026
3.834,1.25,-46.2975,-58.4542
3.8343,1.609,-43.7672,43.9279
3.8358,-0.157,170.2517,-54.491
3.8364,1.313,-63.1531,18.5343
3.8384,-0.018,-88.1144,28.7625
3.8414,-0.116,-171.6294,69.7882
3.8423,-0.057,-24.5859,-1.3873
3.8436,-0.192,-172.9901,-50.2306
3.8472,-0.151,-115.0648,46.3134
3.8476,0.291,147.7473,59.0387
3.8482,0.916,-10.7086,3.2823
3.8484,1.202,-12.6383,-21.1724
3.8511,0.844,28.9895,-51.6089
3.8523,-0.029,-132.0164,-48.7378
3.8533,0.935,-90.5588,29.2479
3.8549,1.154,75.6195,41.0758
3.855,1.181,176.5126,47.7794
3.8552,-0.144,-133.7205,-47.0512
3.8583,0.022,56.0797,32.2882
3.8584,-0.047,28.3826,19.2939
3.8591,-0.063,56.4567,24.3677
3.8645,1.011,118.0543,-40.5758
3.8652,0.881,53.2327,-9.4583
3.8653,0.051,153.684,-42.1219
3.8668,0.855,-61.1717,6.4068
